fid,cr_dens,price,morfotype,cluster,minor_roads_dens,tree_dens,poi_dens,ma_morf,morfotype_unique,empt_place,parks,rail,trunk
1,0.46328,1,2,12,1.57333,0,0.091,0,2,0,1,0,0
3,0.34998,1,1,11,0.7812,1.352,0.077,0,2,1,1,1,0
4,0.68008,1,2,12,5.64087,0.331,0.662,0,2,0,1,1,0
5,0.36067,1,2,12,0.83055,2.645,0.244,0,2,1,1,0,0
6,0.66281,1,1,11,3.57516,14.85,0.391,1,2,1,1,1,0
7,1.49218,1,2,12,4.91656,27.845,2.21,1,1,1,1,0,0
8,0.67607,1,2,12,1.71138,12.175,0.439,1,2,1,1,0,0
13,0.07768,1,2,12,4.13797,0.762,0.762,0,2,0,1,1,0
15,0.22070,1,1,11,2.58802,23.156,0.604,1,2,0,1,0,0
16,0.37051,1,2,12,4.32871,59.245,0.677,1,2,0,1,0,0
17,1.40576,1,1,11,1.23678,6.867,0.462,1,3,1,1,0,0
18,2.97073,1,1,11,16.35993,90.343,3.062,1,1,0,1,0,0
21,0.42960,1,2,12,2.32003,8.742,0.683,0,2,1,1,0,0
22,0.39029,1,2,12,15.93778,13.95,4.292,0,2,1,1,0,0
24,0.83194,1,1,11,9.88594,10.166,0,1,2,1,1,0,0
25,0.33976,1,1,11,13.77833,14.999,0,1,1,1,1,0,0
26,0.43609,1,1,11,0.73365,2.459,0.25,0,2,1,1,0,0
28,1.17012,1,2,12,9.98052,6.545,0,1,2,1,1,0,0
29,0.41224,1,1,11,1.29981,6.147,0.156,0,2,1,1,0,0
30,2.52266,1,1,11,12.23298,10.476,0,1,1,1,1,0,0
34,1.39124,1,1,11,19.42241,39.735,2.649,1,2,1,1,0,0
36,1.48420,1,1,11,20.07285,20.938,0,1,2,1,1,0,0
37,0.05361,1,2,12,0.85327,1.964,0.184,1,1,0,1,0,0
38,0.13785,1,2,12,0.36475,3.076,0.025,1,1,0,1,0,0
39,1.85095,1,1,11,5.43545,11.821,4.269,1,2,0,1,1,0
42,0.46550,2,1,21,28.36766,2.603,2.603,1,2,1,1,0,0
43,0.15926,2,1,21,0.57271,0.035,0.07,0,2,1,1,1,0
44,1.00757,2,1,21,2.78228,1.735,0.248,1,2,0,0,0,0
45,0.12034,2,1,21,0.4656,2.377,0.039,1,1,0,0,0,0
48,0.23215,2,1,21,19.89977,0,0,1,1,0,1,1,0
49,0.34965,2,1,21,0.88158,1.22,0.081,0,2,1,1,0,0
51,0.71337,2,1,21,1.4085,0.149,0,1,2,1,1,0,0
54,0.13170,3,1,31,0.52312,1.291,0.052,0,2,1,1,0,0
57,0.67182,2,2,22,1.71695,28.438,0.438,0,2,0,1,0,1
58,0.03479,2,2,22,1.00875,11.898,0.23,0,2,0,1,0,1
59,0.12860,1,2,12,0.41638,2.929,0.073,0,2,1,1,0,1
61,0.34374,2,1,21,2.29749,2.843,0,1,1,1,1,0,0
62,0.32420,2,1,21,0.69215,3.035,0.112,0,2,1,1,0,1
63,0.18166,1,2,12,0.90909,1.759,0.05,0,2,1,1,0,1
64,0.14070,2,2,22,0.48839,1.586,0.068,0,2,1,1,0,1
65,1.23172,1,2,12,12.25675,5.55,0.793,1,2,1,1,1,1
66,3.57342,1,1,11,30.44044,0,11.382,1,2,1,1,1,1
67,0.50448,1,2,12,1.18105,5.39,0.58,0,2,1,1,0,1
68,0.77448,1,2,12,7.85686,30.121,0.463,1,2,1,1,0,0
69,0.22919,1,1,11,2.53005,8.897,0.124,1,2,1,1,0,0
70,0.19144,2,2,22,0.4735,5.776,0.043,0,2,1,1,0,1
71,0.30654,2,1,21,0.84881,3.961,0,0,2,1,1,0,0
72,0.42129,2,1,21,5.96328,25.141,2.205,1,2,0,1,0,1
73,0.17036,2,1,21,1.07159,6.554,0.074,0,2,0,1,0,1
74,0.20005,2,1,21,3.74274,3.145,0,1,2,0,1,0,0
75,14.95448,2,1,21,36.63011,119.731,7.483,1,2,0,1,0,0
77,3.58208,2,1,21,5.60535,21.213,1.928,1,2,0,1,0,1
78,1.82034,2,2,22,10.19539,32.635,3.795,0,2,0,1,0,1
79,0.31623,1,1,11,1.79287,8.739,0.196,0,2,1,1,0,1
81,0.25350,2,2,22,3.76911,15.511,0,0,2,1,1,0,1
